"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"141","Megaoryzomys curioi",1653,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",47.71,"Ref_2, Ref_3","0",136657,NA,NA,NA,"EX",NA,NA,NA,NA,NA,"Megaoryzomys curioi"
"143","Melanomys caliginosus",1655,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",41,"Ref_117","1",13046,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Marginal",NA,NA,"Melanomys caliginosus"
"144","Melanomys robustulus",1656,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",53.5,"Ref_117","1",13047,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Melanomys robustulus"
"145","Mesomys hispidus",2961,"Echimyidae",0,0,0,0,0,0,30,0,20,50,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",175,"Ref_117","1",13234,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Mesomys hispidus"
"146","Mesophylla macconnelli",4091,"Phyllostomidae",10,0,0,0,0,0,90,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",6.92,"Ref_117","1",13240,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Mesophylla macconnelli"
"150","Metachirus nudicaudatus",53,"Didelphidae",30,20,20,0,10,0,20,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",375,"Ref_117","1",40509,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Metachirus nudicaudatus"
"151","Micronycteris hirsuta",4031,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_2","D1","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",12.01,"Ref_117","1",13378,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Micronycteris hirsuta"
"152","Micronycteris minuta",4030,"Phyllostomidae",80,0,0,0,0,0,20,0,0,0,"Ref_2","D1","S","B","surface vs. scansorial unknown",1,0,0,"Ref_1","ABC",6.5,"Ref_117","1",13380,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Micronycteris minuta"
"153","Microryzomys altissimus",1781,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",13.5,"Ref_117","1",13407,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"Microryzomys altissimus"
"154","Microryzomys minutus",1782,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",13.5,"Ref_117","1",13408,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Microryzomys minutus"
